zipcode,price,status,lat,long
98001,240000.0,Not Buy,47.3341,-122.282
98001,287000.0,Not Buy,47.3378,-122.257
98001,480000.0,Not Buy,47.3183,-122.253
98001,465000.0,Not Buy,47.3185,-122.275
98001,360000.0,Not Buy,47.3341,-122.255
98001,230000.0,buy,47.2639,-122.252
98001,252000.0,buy,47.3117,-122.27
98001,227950.0,buy,47.2613,-122.255
98001,196000.0,buy,47.3417,-122.271
98001,305000.0,Not Buy,47.336,-122.269
98001,243000.0,buy,47.3575,-122.28
98001,233000.0,buy,47.3415,-122.272
98001,249900.0,Not Buy,47.294,-122.281
98001,205000.0,buy,47.3315,-122.263
98001,196500.0,buy,47.3461,-122.272
98001,199950.0,Not Buy,47.2786,-122.25
98001,289000.0,Not Buy,47.3225,-122.273
98001,249900.0,Not Buy,47.267,-122.25
98001,100000.0,buy,47.2997,-122.269
98001,320000.0,Not Buy,47.3557,-122.278
98001,267000.0,buy,47.288,-122.283
98001,350000.0,Not Buy,47.2755,-122.271
98001,355000.0,Not Buy,47.3396,-122.256
98001,250000.0,buy,47.3386,-122.288
98001,355000.0,Not Buy,47.2609,-122.289
98001,299000.0,Not Buy,47.3192,-122.287
98001,330000.0,Not Buy,47.3012,-122.285
98001,196440.0,Not Buy,47.2804,-122.251
98001,429000.0,Not Buy,47.3477,-122.271
98001,189950.0,Not Buy,47.3084,-122.234
98001,215500.0,Not Buy,47.2853,-122.265
98001,206000.0,buy,47.2845,-122.25
98001,210000.0,buy,47.345,-122.283
98001,284200.0,Not Buy,47.3386,-122.272
98001,272000.0,buy,47.3336,-122.272
98001,185000.0,buy,47.3496,-122.289
98001,332000.0,Not Buy,47.3524,-122.285
98001,238000.0,Not Buy,47.2685,-122.231
98001,213550.0,buy,47.3334,-122.289
98001,230000.0,buy,47.3417,-122.283
98001,262000.0,buy,47.2796,-122.247
98001,175000.0,Not Buy,47.327,-122.267
98001,235000.0,Not Buy,47.2751,-122.252
98001,165000.0,buy,47.3323,-122.276
98001,276000.0,buy,47.2877,-122.283
98001,265000.0,buy,47.3305,-122.285
98001,259000.0,buy,47.2872,-122.283
98001,225000.0,buy,47.2671,-122.236
98001,354450.0,Not Buy,47.3529,-122.274
98001,352000.0,Not Buy,47.3216,-122.291
98001,210500.0,buy,47.2622,-122.282
98001,276000.0,buy,47.2635,-122.284
98001,299950.0,Not Buy,47.342,-122.279
98001,279000.0,buy,47.2773,-122.276
98001,329500.0,Not Buy,47.341,-122.265
98001,196000.0,Not Buy,47.2976,-122.271
98001,515000.0,Not Buy,47.2609,-122.27
98001,180000.0,buy,47.28,-122.257
98001,225000.0,buy,47.2718,-122.291
98001,115000.0,Not Buy,47.2841,-122.255
98001,195000.0,buy,47.3278,-122.262
98001,299950.0,Not Buy,47.339,-122.266
98001,299000.0,Not Buy,47.2924,-122.271
98001,201700.0,buy,47.2956,-122.272
98001,194820.0,buy,47.3186,-122.289
98001,286950.0,Not Buy,47.3338,-122.268
98001,250000.0,buy,47.3426,-122.285
98001,215000.0,buy,47.3378,-122.262
98001,212500.0,buy,47.2816,-122.269
98001,382450.0,Not Buy,47.2864,-122.264
98001,269950.0,Not Buy,47.3168,-122.264
98001,221000.0,buy,47.3414,-122.286
98001,263400.0,Not Buy,47.2718,-122.265
98001,267500.0,Not Buy,47.3282,-122.285
98001,224000.0,buy,47.3427,-122.281
98001,330000.0,Not Buy,47.3002,-122.282
98001,359000.0,Not Buy,47.3207,-122.266
98001,214100.0,buy,47.3516,-122.292
98001,482000.0,Not Buy,47.317,-122.281
98001,340000.0,Not Buy,47.3295,-122.257
98001,465000.0,Not Buy,47.3558,-122.29
98001,299000.0,Not Buy,47.2606,-122.285
98001,198000.0,buy,47.3385,-122.282
98001,169000.0,buy,47.3405,-122.288
98001,195000.0,buy,47.2949,-122.285
98001,250000.0,buy,47.3333,-122.266
98001,260000.0,buy,47.3317,-122.276
98001,260000.0,buy,47.3087,-122.264
98001,430000.0,Not Buy,47.3117,-122.254
98001,339000.0,Not Buy,47.3504,-122.284
98001,215000.0,buy,47.3041,-122.28
98001,230000.0,buy,47.3112,-122.265
98001,285000.0,Not Buy,47.3406,-122.269
98001,277500.0,buy,47.331,-122.286
98001,260000.0,buy,47.2638,-122.243
98001,639900.0,Not Buy,47.3511,-122.266
98001,420000.0,Not Buy,47.3185,-122.262
98001,275000.0,buy,47.3424,-122.275
98001,239950.0,buy,47.3393,-122.259
98001,239950.0,Not Buy,47.2738,-122.271
98001,286000.0,Not Buy,47.2849,-122.251
98001,280000.0,Not Buy,47.3088,-122.273
98001,254000.0,buy,47.3424,-122.289
98001,204900.0,Not Buy,47.2669,-122.254
98001,850000.0,Not Buy,47.354,-122.293
98001,265000.0,buy,47.3336,-122.281
98001,175000.0,buy,47.3171,-122.279
98001,269500.0,buy,47.3385,-122.262
98001,286651.0,Not Buy,47.3035,-122.283
98001,270000.0,buy,47.326,-122.273
98001,415000.0,Not Buy,47.3226,-122.287
98001,241000.0,buy,47.3321,-122.261
98001,302000.0,Not Buy,47.3401,-122.282
98001,265000.0,buy,47.3395,-122.28
98001,449888.0,Not Buy,47.3514,-122.279
98001,263000.0,buy,47.3266,-122.272
98001,384000.0,Not Buy,47.3154,-122.254
98001,190000.0,buy,47.3553,-122.28
98001,184000.0,buy,47.3075,-122.284
98001,255000.0,buy,47.2736,-122.251
98001,220000.0,buy,47.2925,-122.284
98001,160000.0,buy,47.3413,-122.28
98001,375000.0,Not Buy,47.3264,-122.262
98001,225000.0,buy,47.2598,-122.281
98001,259900.0,buy,47.3382,-122.257
